project_id,service,sku_description,usage_start_time,usage_end_time,usage_amount,cost
project-alpha,Cloud SQL,db-f1-micro,2025-04-02,2025-04-02,25.42,26.89
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-02,2025-04-02,38.43,17.37
project-beta,Compute Engine,n2-highmem-8,2025-04-02,2025-04-02,21.81,41.08
project-beta,Cloud Storage,Egress,2025-04-02,2025-04-02,25.92,8.63
project-beta,BigQuery,Active Storage,2025-04-02,2025-04-02,46.53,17.02
project-beta,Cloud SQL,db-n1-standard-2,2025-04-02,2025-04-02,42.61,56.87
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-02,2025-04-02,8.28,2.26
project-alpha,Compute Engine,n2-standard-4,2025-04-03,2025-04-03,7.93,9.36
project-alpha,Cloud Storage,Nearline Storage,2025-04-03,2025-04-03,48.12,48.06
project-alpha,BigQuery,Active Storage,2025-04-03,2025-04-03,42.15,78.03
project-alpha,Cloud SQL,db-f1-micro,2025-04-03,2025-04-03,44.67,59.8
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-03,2025-04-03,5.98,4.36
project-beta,Compute Engine,n2-standard-4,2025-04-03,2025-04-03,38.33,41.64
project-beta,Cloud Storage,Standard Storage,2025-04-03,2025-04-03,36.02,68.77
project-beta,BigQuery,Query Processing,2025-04-03,2025-04-03,46.13,84.09
project-beta,Cloud SQL,db-f1-micro,2025-04-03,2025-04-03,9.95,11.28
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-03,2025-04-03,47.98,60.95
project-alpha,Compute Engine,n2-standard-4,2025-04-04,2025-04-04,15.34,18.67
project-alpha,Cloud Storage,Nearline Storage,2025-04-04,2025-04-04,42.55,80.07
project-alpha,BigQuery,Query Processing,2025-04-04,2025-04-04,2.99,3.44
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-04,2025-04-04,13.65,3.76
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-04,2025-04-04,30.58,45.13
project-beta,Compute Engine,n2-standard-4,2025-04-04,2025-04-04,29.08,14.23
project-beta,Cloud Storage,Nearline Storage,2025-04-04,2025-04-04,13.27,10.87
project-beta,BigQuery,Query Processing,2025-04-04,2025-04-04,9.48,8.24
project-beta,Cloud SQL,db-f1-micro,2025-04-04,2025-04-04,36.65,56.51
project-beta,Kubernetes Engine,GKE Nodes,2025-04-04,2025-04-04,20.22,2.73
project-alpha,Compute Engine,n2-highmem-8,2025-04-05,2025-04-05,5.18,6.18
project-alpha,Cloud Storage,Egress,2025-04-05,2025-04-05,46.53,62.13
project-alpha,BigQuery,Query Processing,2025-04-05,2025-04-05,33.34,55.11
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-05,2025-04-05,3.94,5.34
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-05,2025-04-05,43.49,11.7
project-beta,Compute Engine,n2-highmem-8,2025-04-05,2025-04-05,1.46,1.69
project-beta,Cloud Storage,Egress,2025-04-05,2025-04-05,49.11,45.79
project-beta,BigQuery,Active Storage,2025-04-05,2025-04-05,15.92,20.99
project-beta,Cloud SQL,db-f1-micro,2025-04-05,2025-04-05,47.09,75.73
project-beta,Kubernetes Engine,GKE Nodes,2025-04-05,2025-04-05,28.99,50.73
project-alpha,Compute Engine,n2-standard-4,2025-04-06,2025-04-06,31.26,13.38
project-alpha,Cloud Storage,Standard Storage,2025-04-06,2025-04-06,24.77,27.18
project-alpha,BigQuery,Query Processing,2025-04-06,2025-04-06,29.36,23.65
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-06,2025-04-06,33.42,46.03
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-06,2025-04-06,14.31,5.28
project-beta,Compute Engine,e2-standard-2,2025-04-06,2025-04-06,15.19,5.34
project-beta,Cloud Storage,Egress,2025-04-06,2025-04-06,47.72,56.46
project-beta,BigQuery,Active Storage,2025-04-06,2025-04-06,9.29,12.84
project-beta,Cloud SQL,db-n1-standard-2,2025-04-06,2025-04-06,10.02,9.22
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-06,2025-04-06,11.97,1.21
project-alpha,Compute Engine,n2-highmem-8,2025-04-07,2025-04-07,5.49,9.82
project-alpha,Cloud Storage,Nearline Storage,2025-04-07,2025-04-07,47.42,66.13
project-alpha,BigQuery,Query Processing,2025-04-07,2025-04-07,47.62,16.1
project-alpha,Cloud SQL,db-f1-micro,2025-04-07,2025-04-07,21.62,13.31
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-07,2025-04-07,49.14,95.41
project-beta,Compute Engine,n2-highmem-8,2025-04-07,2025-04-07,29.14,33.44
project-beta,Cloud Storage,Egress,2025-04-07,2025-04-07,35.13,44.39
project-beta,BigQuery,Active Storage,2025-04-07,2025-04-07,25.38,3.45
project-beta,Cloud SQL,db-n1-standard-2,2025-04-07,2025-04-07,31.56,42.31
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-07,2025-04-07,40.86,39.71
project-alpha,Compute Engine,e2-standard-2,2025-04-08,2025-04-08,20.27,33.74
project-alpha,Cloud Storage,Standard Storage,2025-04-08,2025-04-08,44.4,47.84
project-alpha,BigQuery,Active Storage,2025-04-08,2025-04-08,35.39,30.72
project-alpha,Cloud SQL,db-f1-micro,2025-04-08,2025-04-08,10.26,9.76
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-08,2025-04-08,35.02,55.86
project-beta,Compute Engine,n2-highmem-8,2025-04-08,2025-04-08,38.01,24.03
project-beta,Cloud Storage,Egress,2025-04-08,2025-04-08,5.19,7.36
project-beta,BigQuery,Active Storage,2025-04-08,2025-04-08,49.69,53.43
project-beta,Cloud SQL,db-n1-standard-2,2025-04-08,2025-04-08,6.72,6.8
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-08,2025-04-08,15.09,20.77
project-alpha,Compute Engine,n2-standard-4,2025-04-09,2025-04-09,27.8,54.26
project-alpha,Cloud Storage,Standard Storage,2025-04-09,2025-04-09,12.46,4.17
project-alpha,BigQuery,Query Processing,2025-04-09,2025-04-09,15.84,7.74
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-09,2025-04-09,42.07,52.78
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-09,2025-04-09,10.27,10.03
project-beta,Compute Engine,n2-standard-4,2025-04-09,2025-04-09,32.41,56.36
project-beta,Cloud Storage,Egress,2025-04-09,2025-04-09,18.3,29.57
project-beta,BigQuery,Query Processing,2025-04-09,2025-04-09,15.59,6.25
project-beta,Cloud SQL,db-n1-standard-2,2025-04-09,2025-04-09,28.33,41.26
project-beta,Kubernetes Engine,GKE Nodes,2025-04-09,2025-04-09,23.59,5.24
project-alpha,Compute Engine,e2-standard-2,2025-04-10,2025-04-10,34.2,32.3
project-alpha,Cloud Storage,Standard Storage,2025-04-10,2025-04-10,28.13,51.38
project-alpha,BigQuery,Active Storage,2025-04-10,2025-04-10,22.9,13.08
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-10,2025-04-10,20.19,6.34
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-10,2025-04-10,5.46,7.61
project-beta,Compute Engine,n2-standard-4,2025-04-10,2025-04-10,4.12,4.58
project-beta,Cloud Storage,Egress,2025-04-10,2025-04-10,14.21,15.0
project-beta,BigQuery,Active Storage,2025-04-10,2025-04-10,9.62,1.4
project-beta,Cloud SQL,db-n1-standard-2,2025-04-10,2025-04-10,3.99,2.06
project-beta,Kubernetes Engine,GKE Nodes,2025-04-10,2025-04-10,19.91,4.01
project-alpha,Compute Engine,n2-standard-4,2025-04-11,2025-04-11,26.26,20.92
project-alpha,Cloud Storage,Nearline Storage,2025-04-11,2025-04-11,26.79,38.08
project-alpha,BigQuery,Query Processing,2025-04-11,2025-04-11,24.46,37.8
project-alpha,Cloud SQL,db-f1-micro,2025-04-11,2025-04-11,11.14,11.63
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-11,2025-04-11,4.78,1.16
project-beta,Compute Engine,n2-standard-4,2025-04-11,2025-04-11,11.67,4.2
project-beta,Cloud Storage,Egress,2025-04-11,2025-04-11,25.34,3.82
project-beta,BigQuery,Active Storage,2025-04-11,2025-04-11,30.13,59.17
project-beta,Cloud SQL,db-f1-micro,2025-04-11,2025-04-11,35.27,31.78
project-beta,Kubernetes Engine,GKE Nodes,2025-04-11,2025-04-11,41.52,66.85
project-alpha,Compute Engine,n2-standard-4,2025-04-12,2025-04-12,16.4,12.36
project-alpha,Cloud Storage,Egress,2025-04-12,2025-04-12,45.49,32.36
project-alpha,BigQuery,Active Storage,2025-04-12,2025-04-12,11.96,15.24
project-alpha,Cloud SQL,db-f1-micro,2025-04-12,2025-04-12,33.06,19.43
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-12,2025-04-12,18.47,2.49
project-beta,Compute Engine,e2-standard-2,2025-04-12,2025-04-12,45.75,18.39
project-beta,Cloud Storage,Nearline Storage,2025-04-12,2025-04-12,26.37,26.9
project-beta,BigQuery,Active Storage,2025-04-12,2025-04-12,2.02,1.54
project-beta,Cloud SQL,db-n1-standard-2,2025-04-12,2025-04-12,8.97,8.51
project-beta,Kubernetes Engine,GKE Nodes,2025-04-12,2025-04-12,35.34,44.5
project-alpha,Compute Engine,e2-standard-2,2025-04-13,2025-04-13,45.67,71.45
project-alpha,Cloud Storage,Egress,2025-04-13,2025-04-13,26.09,43.08
project-alpha,BigQuery,Active Storage,2025-04-13,2025-04-13,29.02,10.5
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-13,2025-04-13,32.51,13.36
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-13,2025-04-13,35.52,26.06
project-beta,Compute Engine,e2-standard-2,2025-04-13,2025-04-13,49.31,71.63
project-beta,Cloud Storage,Nearline Storage,2025-04-13,2025-04-13,30.99,37.9
project-beta,BigQuery,Active Storage,2025-04-13,2025-04-13,3.91,6.23
project-beta,Cloud SQL,db-f1-micro,2025-04-13,2025-04-13,33.08,47.99
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-13,2025-04-13,9.2,17.22
project-alpha,Compute Engine,e2-standard-2,2025-04-14,2025-04-14,3.9,4.47
project-alpha,Cloud Storage,Nearline Storage,2025-04-14,2025-04-14,11.92,10.85
project-alpha,BigQuery,Active Storage,2025-04-14,2025-04-14,4.82,1.16
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-14,2025-04-14,14.1,6.78
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-14,2025-04-14,11.82,19.19
project-beta,Compute Engine,e2-standard-2,2025-04-14,2025-04-14,8.93,1.79
project-beta,Cloud Storage,Nearline Storage,2025-04-14,2025-04-14,39.03,5.64
project-beta,BigQuery,Active Storage,2025-04-14,2025-04-14,44.03,33.39
project-beta,Cloud SQL,db-f1-micro,2025-04-14,2025-04-14,6.47,2.09
project-beta,Kubernetes Engine,GKE Nodes,2025-04-14,2025-04-14,3.0,2.56
project-alpha,Compute Engine,n2-highmem-8,2025-04-15,2025-04-15,19.03,13.14
project-alpha,Cloud Storage,Nearline Storage,2025-04-15,2025-04-15,18.09,20.42
project-alpha,BigQuery,Active Storage,2025-04-15,2025-04-15,13.02,20.36
project-alpha,Cloud SQL,db-f1-micro,2025-04-15,2025-04-15,26.3,15.7
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-15,2025-04-15,21.51,23.64
project-beta,Compute Engine,e2-standard-2,2025-04-15,2025-04-15,32.49,48.74
project-beta,Cloud Storage,Egress,2025-04-15,2025-04-15,43.44,62.7
project-beta,BigQuery,Query Processing,2025-04-15,2025-04-15,19.91,7.78
project-beta,Cloud SQL,db-f1-micro,2025-04-15,2025-04-15,6.46,5.77
project-beta,Kubernetes Engine,GKE Nodes,2025-04-15,2025-04-15,19.34,7.35
project-alpha,Compute Engine,n2-standard-4,2025-04-16,2025-04-16,7.17,1.36
project-alpha,Cloud Storage,Standard Storage,2025-04-16,2025-04-16,34.02,19.03
project-alpha,BigQuery,Active Storage,2025-04-16,2025-04-16,24.68,48.09
project-alpha,Cloud SQL,db-f1-micro,2025-04-16,2025-04-16,48.8,10.91
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-16,2025-04-16,13.69,4.65
project-beta,Compute Engine,n2-standard-4,2025-04-16,2025-04-16,7.6,6.89
project-beta,Cloud Storage,Nearline Storage,2025-04-16,2025-04-16,17.52,5.16
project-beta,BigQuery,Query Processing,2025-04-16,2025-04-16,19.84,39.29
project-beta,Cloud SQL,db-n1-standard-2,2025-04-16,2025-04-16,8.2,5.3
project-beta,Kubernetes Engine,GKE Nodes,2025-04-16,2025-04-16,46.76,40.49
project-alpha,Compute Engine,n2-standard-4,2025-04-17,2025-04-17,21.29,37.16
project-alpha,Cloud Storage,Egress,2025-04-17,2025-04-17,41.84,75.64
project-alpha,BigQuery,Query Processing,2025-04-17,2025-04-17,43.77,64.12
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-17,2025-04-17,8.19,11.99
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-17,2025-04-17,34.51,32.39
project-beta,Compute Engine,n2-standard-4,2025-04-17,2025-04-17,3.81,2.45
project-beta,Cloud Storage,Egress,2025-04-17,2025-04-17,6.84,0.75
project-beta,BigQuery,Active Storage,2025-04-17,2025-04-17,31.87,62.56
project-beta,Cloud SQL,db-f1-micro,2025-04-17,2025-04-17,1.85,3.1
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-17,2025-04-17,49.28,79.63
project-alpha,Compute Engine,n2-standard-4,2025-04-18,2025-04-18,38.21,24.15
project-alpha,Cloud Storage,Egress,2025-04-18,2025-04-18,44.3,59.81
project-alpha,BigQuery,Query Processing,2025-04-18,2025-04-18,35.36,54.46
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-18,2025-04-18,17.82,8.03
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-18,2025-04-18,8.15,2.45
project-beta,Compute Engine,n2-standard-4,2025-04-18,2025-04-18,40.04,32.02
project-beta,Cloud Storage,Egress,2025-04-18,2025-04-18,19.58,27.54
project-beta,BigQuery,Active Storage,2025-04-18,2025-04-18,3.9,7.29
project-beta,Cloud SQL,db-f1-micro,2025-04-18,2025-04-18,16.36,30.67
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-18,2025-04-18,1.05,1.64
project-alpha,Compute Engine,e2-standard-2,2025-04-19,2025-04-19,28.77,26.88
project-alpha,Cloud Storage,Standard Storage,2025-04-19,2025-04-19,18.53,15.84
project-alpha,BigQuery,Active Storage,2025-04-19,2025-04-19,19.42,20.98
project-alpha,Cloud SQL,db-f1-micro,2025-04-19,2025-04-19,15.87,17.81
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-19,2025-04-19,7.05,5.58
project-beta,Compute Engine,e2-standard-2,2025-04-19,2025-04-19,46.11,14.33
project-beta,Cloud Storage,Egress,2025-04-19,2025-04-19,18.0,20.08
project-beta,BigQuery,Active Storage,2025-04-19,2025-04-19,43.68,52.43
project-beta,Cloud SQL,db-n1-standard-2,2025-04-19,2025-04-19,23.73,6.5
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-19,2025-04-19,19.99,10.83
project-alpha,Compute Engine,n2-highmem-8,2025-04-20,2025-04-20,35.41,29.92
project-alpha,Cloud Storage,Standard Storage,2025-04-20,2025-04-20,27.14,44.38
project-alpha,BigQuery,Active Storage,2025-04-20,2025-04-20,23.39,26.09
project-alpha,Cloud SQL,db-f1-micro,2025-04-20,2025-04-20,19.6,17.46
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-20,2025-04-20,9.8,7.21
project-beta,Compute Engine,n2-highmem-8,2025-04-20,2025-04-20,15.81,11.53
project-beta,Cloud Storage,Standard Storage,2025-04-20,2025-04-20,39.05,69.09
project-beta,BigQuery,Query Processing,2025-04-20,2025-04-20,25.54,17.87
project-beta,Cloud SQL,db-f1-micro,2025-04-20,2025-04-20,35.86,10.28
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-20,2025-04-20,20.5,24.14
project-alpha,Compute Engine,n2-highmem-8,2025-04-21,2025-04-21,7.09,4.75
project-alpha,Cloud Storage,Standard Storage,2025-04-21,2025-04-21,36.2,36.32
project-alpha,BigQuery,Active Storage,2025-04-21,2025-04-21,19.88,31.84
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-21,2025-04-21,4.2,3.65
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-21,2025-04-21,33.85,35.68
project-beta,Compute Engine,e2-standard-2,2025-04-21,2025-04-21,7.15,12.14
project-beta,Cloud Storage,Standard Storage,2025-04-21,2025-04-21,39.7,8.61
project-beta,BigQuery,Query Processing,2025-04-21,2025-04-21,4.49,2.31
project-beta,Cloud SQL,db-n1-standard-2,2025-04-21,2025-04-21,19.64,17.32
project-beta,Kubernetes Engine,GKE Nodes,2025-04-21,2025-04-21,9.45,10.26
project-alpha,Compute Engine,n2-standard-4,2025-04-22,2025-04-22,9.02,15.59
project-alpha,Cloud Storage,Standard Storage,2025-04-22,2025-04-22,4.13,6.62
project-alpha,BigQuery,Active Storage,2025-04-22,2025-04-22,45.85,7.98
project-alpha,Cloud SQL,db-f1-micro,2025-04-22,2025-04-22,42.71,41.86
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-22,2025-04-22,46.85,78.67
project-beta,Compute Engine,e2-standard-2,2025-04-22,2025-04-22,33.48,4.88
project-beta,Cloud Storage,Nearline Storage,2025-04-22,2025-04-22,16.78,2.15
project-beta,BigQuery,Active Storage,2025-04-22,2025-04-22,27.66,48.38
project-beta,Cloud SQL,db-n1-standard-2,2025-04-22,2025-04-22,46.67,48.63
project-beta,Kubernetes Engine,GKE Nodes,2025-04-22,2025-04-22,30.56,51.18
project-alpha,Compute Engine,e2-standard-2,2025-04-23,2025-04-23,15.09,11.45
project-alpha,Cloud Storage,Nearline Storage,2025-04-23,2025-04-23,33.64,25.16
project-alpha,BigQuery,Query Processing,2025-04-23,2025-04-23,13.37,18.51
project-alpha,Cloud SQL,db-f1-micro,2025-04-23,2025-04-23,45.88,82.33
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-23,2025-04-23,14.59,21.86
project-beta,Compute Engine,n2-standard-4,2025-04-23,2025-04-23,48.58,34.56
project-beta,Cloud Storage,Nearline Storage,2025-04-23,2025-04-23,10.78,3.04
project-beta,BigQuery,Query Processing,2025-04-23,2025-04-23,13.95,6.0
project-beta,Cloud SQL,db-f1-micro,2025-04-23,2025-04-23,9.47,2.93
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-23,2025-04-23,41.09,29.62
project-alpha,Compute Engine,n2-highmem-8,2025-04-24,2025-04-24,22.25,37.47
project-alpha,Cloud Storage,Nearline Storage,2025-04-24,2025-04-24,27.23,6.32
project-alpha,BigQuery,Active Storage,2025-04-24,2025-04-24,41.51,38.4
project-alpha,Cloud SQL,db-f1-micro,2025-04-24,2025-04-24,25.27,33.31
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-24,2025-04-24,33.72,31.14
project-beta,Compute Engine,n2-standard-4,2025-04-24,2025-04-24,33.73,19.51
project-beta,Cloud Storage,Nearline Storage,2025-04-24,2025-04-24,11.46,13.17
project-beta,BigQuery,Active Storage,2025-04-24,2025-04-24,36.96,15.24
project-beta,Cloud SQL,db-f1-micro,2025-04-24,2025-04-24,20.13,27.06
project-beta,Kubernetes Engine,GKE Nodes,2025-04-24,2025-04-24,32.18,34.25
project-alpha,Compute Engine,n2-standard-4,2025-04-25,2025-04-25,7.67,5.4
project-alpha,Cloud Storage,Standard Storage,2025-04-25,2025-04-25,45.76,44.05
project-alpha,BigQuery,Query Processing,2025-04-25,2025-04-25,38.31,5.68
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-25,2025-04-25,16.17,19.94
project-alpha,Kubernetes Engine,GKE Nodes,2025-04-25,2025-04-25,45.04,83.63
project-beta,Compute Engine,e2-standard-2,2025-04-25,2025-04-25,20.98,31.88
project-beta,Cloud Storage,Egress,2025-04-25,2025-04-25,42.3,44.85
project-beta,BigQuery,Active Storage,2025-04-25,2025-04-25,20.59,17.07
project-beta,Cloud SQL,db-f1-micro,2025-04-25,2025-04-25,25.1,28.06
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-25,2025-04-25,4.28,4.11
project-alpha,Compute Engine,n2-standard-4,2025-04-26,2025-04-26,22.04,24.97
project-alpha,Cloud Storage,Standard Storage,2025-04-26,2025-04-26,2.26,0.39
project-alpha,BigQuery,Query Processing,2025-04-26,2025-04-26,38.99,64.12
project-alpha,Cloud SQL,db-f1-micro,2025-04-26,2025-04-26,25.66,4.97
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-26,2025-04-26,35.13,25.51
project-beta,Compute Engine,n2-highmem-8,2025-04-26,2025-04-26,22.43,2.87
project-beta,Cloud Storage,Nearline Storage,2025-04-26,2025-04-26,6.27,1.58
project-beta,BigQuery,Query Processing,2025-04-26,2025-04-26,33.55,55.65
project-beta,Cloud SQL,db-f1-micro,2025-04-26,2025-04-26,41.46,52.35
project-beta,Kubernetes Engine,GKE Nodes,2025-04-26,2025-04-26,22.66,29.3
project-alpha,Compute Engine,e2-standard-2,2025-04-27,2025-04-27,3.04,5.41
project-alpha,Cloud Storage,Standard Storage,2025-04-27,2025-04-27,21.28,16.7
project-alpha,BigQuery,Query Processing,2025-04-27,2025-04-27,7.77,9.42
project-alpha,Cloud SQL,db-f1-micro,2025-04-27,2025-04-27,19.16,7.57
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-27,2025-04-27,12.93,5.47
project-beta,Compute Engine,e2-standard-2,2025-04-27,2025-04-27,11.01,16.05
project-beta,Cloud Storage,Egress,2025-04-27,2025-04-27,48.77,38.73
project-beta,BigQuery,Query Processing,2025-04-27,2025-04-27,12.36,18.8
project-beta,Cloud SQL,db-n1-standard-2,2025-04-27,2025-04-27,41.12,77.52
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-27,2025-04-27,46.41,26.33
project-alpha,Compute Engine,n2-highmem-8,2025-04-28,2025-04-28,11.3,2.77
project-alpha,Cloud Storage,Standard Storage,2025-04-28,2025-04-28,5.09,0.6
project-alpha,BigQuery,Query Processing,2025-04-28,2025-04-28,26.48,45.83
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-28,2025-04-28,6.47,8.46
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-28,2025-04-28,13.0,9.46
project-beta,Compute Engine,n2-standard-4,2025-04-28,2025-04-28,10.89,2.14
project-beta,Cloud Storage,Nearline Storage,2025-04-28,2025-04-28,13.73,10.34
project-beta,BigQuery,Active Storage,2025-04-28,2025-04-28,46.6,47.18
project-beta,Cloud SQL,db-n1-standard-2,2025-04-28,2025-04-28,20.54,22.42
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-28,2025-04-28,40.77,16.86
project-alpha,Compute Engine,n2-highmem-8,2025-04-29,2025-04-29,31.12,15.77
project-alpha,Cloud Storage,Nearline Storage,2025-04-29,2025-04-29,44.75,24.41
project-alpha,BigQuery,Query Processing,2025-04-29,2025-04-29,40.75,58.92
project-alpha,Cloud SQL,db-f1-micro,2025-04-29,2025-04-29,14.46,10.51
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-29,2025-04-29,27.49,17.63
project-beta,Compute Engine,n2-highmem-8,2025-04-29,2025-04-29,5.27,3.26
project-beta,Cloud Storage,Standard Storage,2025-04-29,2025-04-29,7.12,12.02
project-beta,BigQuery,Query Processing,2025-04-29,2025-04-29,27.44,39.49
project-beta,Cloud SQL,db-n1-standard-2,2025-04-29,2025-04-29,39.58,32.53
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-29,2025-04-29,7.71,2.08
project-alpha,Compute Engine,n2-highmem-8,2025-04-30,2025-04-30,36.02,23.27
project-alpha,Cloud Storage,Standard Storage,2025-04-30,2025-04-30,47.27,18.27
project-alpha,BigQuery,Query Processing,2025-04-30,2025-04-30,29.28,36.99
project-alpha,Cloud SQL,db-n1-standard-2,2025-04-30,2025-04-30,48.85,91.59
project-alpha,Kubernetes Engine,GKE Control Plane,2025-04-30,2025-04-30,43.09,44.58
project-beta,Compute Engine,e2-standard-2,2025-04-30,2025-04-30,39.14,65.57
project-beta,Cloud Storage,Egress,2025-04-30,2025-04-30,34.18,66.09
project-beta,BigQuery,Query Processing,2025-04-30,2025-04-30,3.38,3.16
project-beta,Cloud SQL,db-f1-micro,2025-04-30,2025-04-30,26.56,49.53
project-beta,Kubernetes Engine,GKE Control Plane,2025-04-30,2025-04-30,8.8,3.22
project-alpha,Compute Engine,e2-standard-2,2025-05-01,2025-05-01,6.2,7.02
project-alpha,Cloud Storage,Egress,2025-05-01,2025-05-01,21.97,38.12
project-alpha,BigQuery,Active Storage,2025-05-01,2025-05-01,40.07,53.5
project-alpha,Cloud SQL,db-n1-standard-2,2025-05-01,2025-05-01,27.46,44.21
project-alpha,Kubernetes Engine,GKE Nodes,2025-05-01,2025-05-01,29.99,8.7
project-beta,Compute Engine,e2-standard-2,2025-05-01,2025-05-01,19.16,21.48
project-beta,Cloud Storage,Nearline Storage,2025-05-01,2025-05-01,24.86,21.09
project-beta,BigQuery,Query Processing,2025-05-01,2025-05-01,2.84,5.18
project-beta,Cloud SQL,db-n1-standard-2,2025-05-01,2025-05-01,36.48,6.33
project-beta,Kubernetes Engine,GKE Nodes,2025-05-01,2025-05-01,32.82,24.77
project-alpha,Compute Engine,n2-standard-4,2025-05-02,2025-05-02,4.32,7.32
project-alpha,Cloud Storage,Egress,2025-05-02,2025-05-02,36.02,58.08
project-alpha,BigQuery,Active Storage,2025-05-02,2025-05-02,5.59,0.78
project-alpha,Cloud SQL,db-f1-micro,2025-05-02,2025-05-02,5.19,1.92
project-alpha,Kubernetes Engine,GKE Nodes,2025-05-02,2025-05-02,37.24,70.84
project-beta,Compute Engine,e2-standard-2,2025-05-02,2025-05-02,12.07,8.36
project-beta,Cloud Storage,Egress,2025-05-02,2025-05-02,46.36,20.77
project-beta,BigQuery,Active Storage,2025-05-02,2025-05-02,21.52,15.1
project-beta,Cloud SQL,db-f1-micro,2025-05-02,2025-05-02,15.53,7.05
project-beta,Kubernetes Engine,GKE Control Plane,2025-05-02,2025-05-02,45.7,63.7
project-alpha,Compute Engine,n2-highmem-8,2025-05-03,2025-05-03,9.14,1.16
project-alpha,Cloud Storage,Egress,2025-05-03,2025-05-03,12.34,8.78
project-alpha,BigQuery,Active Storage,2025-05-03,2025-05-03,6.96,3.44
project-alpha,Cloud SQL,db-f1-micro,2025-05-03,2025-05-03,33.78,56.89
project-alpha,Kubernetes Engine,GKE Control Plane,2025-05-03,2025-05-03,47.08,64.54
project-beta,Compute Engine,n2-standard-4,2025-05-03,2025-05-03,11.42,20.05
project-beta,Cloud Storage,Standard Storage,2025-05-03,2025-05-03,47.72,24.06
project-beta,BigQuery,Active Storage,2025-05-03,2025-05-03,36.94,47.47
project-beta,Cloud SQL,db-f1-micro,2025-05-03,2025-05-03,11.27,14.14
project-beta,Kubernetes Engine,GKE Control Plane,2025-05-03,2025-05-03,14.19,23.1
project-alpha,Compute Engine,n2-standard-4,2025-05-04,2025-05-04,25.8,41.47
project-alpha,Cloud Storage,Egress,2025-05-04,2025-05-04,5.26,2.68
project-alpha,BigQuery,Query Processing,2025-05-04,2025-05-04,1.67,0.52
project-alpha,Cloud SQL,db-n1-standard-2,2025-05-04,2025-05-04,40.16,41.57
project-alpha,Kubernetes Engine,GKE Nodes,2025-05-04,2025-05-04,4.1,6.56
project-beta,Compute Engine,n2-highmem-8,2025-05-04,2025-05-04,11.23,10.17
project-beta,Cloud Storage,Egress,2025-05-04,2025-05-04,4.45,8.07
project-beta,BigQuery,Query Processing,2025-05-04,2025-05-04,39.93,12.65
